no_saida,no_entrada,betweenness
5111,2230,9.47152046429784e-07
5111,2334,4.17178427362373e-06
5111,2524,1.1426782439526508e-06
5111,2639,1.0044480405682582e-05
5111,2676,2.409509440712339e-06
5111,2917,1.0955400843199742e-05
5111,3099,7.122239441870057e-05
5111,3170,2.1360946819919243e-05
5111,3665,4.491864232944866e-06
5111,3842,4.211967718716026e-06
5111,3883,1.5045839340468832e-06
5111,4033,2.6564982744793213e-06
5111,4197,8.473025447816497e-06
5111,4253,2.025491954664129e-05
5111,4537,1.0929370638356262e-06
5111,4630,1.1319747341806247e-06
5111,4727,1.437414816764971e-06
5111,4761,5.467012117404425e-06
5111,4911,1.702804347146057e-06
5111,5093,2.768364669278085e-05
5111,5866,3.7317177176637727e-06
5111,5785,4.7245359528329834e-06
138,5154,4.005072058163978e-06
138,2524,8.330308485847327e-06
138,766,7.84810552518271e-06
138,2676,3.379884023803274e-06
138,4033,1.7446930644205028e-06
138,2852,6.6727718781140705e-06
138,2639,1.6036249320108694e-05
138,676,3.972145207899156e-06
138,5866,8.574103478160702e-07
138,4674,4.938717864451845e-05
138,876,1.3500805279562011e-05
138,4924,5.403771724688975e-06
138,4978,1.0869468040030456e-06
138,3883,5.796414599674376e-06
138,3622,2.293018925383014e-05
138,4523,3.926901624589641e-05
138,2334,4.517233510086327e-06
138,2051,3.5698302021252916e-06
138,4630,3.2054391061107157e-06
3053,766,6.082863551291487e-06
3053,848,3.096712567381918e-06
3053,876,7.782204218899874e-06
3053,961,5.277330395995271e-06
3053,1578,7.508040819882046e-07
3053,2051,3.6932550605002076e-06
3053,2639,1.0741618014801523e-05
3053,2676,2.2523857793990965e-06
3053,5154,3.192740841529479e-06
3053,3099,0.00013415869497572416
3053,4674,4.801462099664074e-05
3053,4924,4.2793743514527635e-06
3053,5866,4.526560406042531e-07
3053,3883,4.0985825157191846e-06
3053,4523,3.43805322928208e-05
3053,4727,3.90893753758989e-06
3053,4630,2.494227494918736e-06
1473,766,6.424827287882155e-06
1473,876,1.3713865216741896e-05
1473,3665,9.521568392617777e-06
1473,3883,4.90709106897894e-06
1473,3874,1.265941657798263e-06
1473,2524,6.552975111851064e-06
1473,2676,3.098549964712599e-06
1473,2639,1.5500235779307544e-05
1473,1547,2.694950487825129e-06
1473,4674,5.291944422002923e-05
1473,4924,4.92679278497727e-06
1473,5866,1.1198765282939918e-06
1473,4978,1.3309838167272155e-06
1473,5093,8.48801238295263e-05
1473,4641,2.037285606260198e-05
1473,5154,3.874258607366662e-06
1473,4523,4.496593098751979e-05
1473,2051,3.4899229788581286e-06
1473,4630,3.295631364952333e-06
4978,766,3.969962122755587e-06
4978,876,5.750476004934981e-06
4978,980,7.345126887330999e-07
4978,1038,2.1889218474773773e-06
4978,1547,1.916313315290523e-06
4978,1578,1.1096077095577583e-06
4978,1676,5.008428559863404e-06
4978,2046,7.59720654572924e-06
4978,2051,2.801931683939003e-06
4978,2334,2.062550857281939e-06
4978,2524,3.99664448195004e-06
4978,2569,1.1574650534351267e-06
4978,2639,8.314085374248615e-06
4978,2676,1.1047022134831214e-06
4978,2755,9.778971673274386e-07
4978,2852,3.461762947775301e-06
4978,3099,0.00011342999805500396
4978,3372,1.1379178669058293e-06
4978,3622,1.673411060402899e-05
4978,3842,3.589724312084807e-06
4978,3874,3.3146523355778735e-07
4978,3883,2.622245193179424e-06
4978,4157,1.252495595751097e-06
4978,4523,3.0446591282977156e-05
4978,4630,1.645951984229768e-06
4978,4674,4.637453270434174e-05
4978,4924,2.5711082355219105e-06
4978,5292,3.1611297987695375e-07
4978,5866,2.4935192407013384e-07
4978,5154,1.8049882376326316e-06
4978,5855,6.328021844695962e-05
4523,98,0.00024928181898972344
4523,169,7.773070116364489e-05
4523,480,6.483634166442058e-05
4523,3087,0.00011425824025944297
4523,724,0.0001285198556357626
4523,876,2.7005270340084635e-05
4523,961,5.960754378968714e-05
4523,980,2.6426264008306804e-05
4523,1038,3.8170834731642154e-05
4523,1067,8.655597517159621e-05
4523,1157,0.00010808350307073583
4523,1340,0.0006997465062908663
4523,1456,0.00045671402178669684
4523,1500,7.355901492688637e-05
4523,253,0.00010119793430276696
4523,1547,3.8159181308377815e-05
4523,1578,4.599266013356866e-05
4523,1849,8.704355145493526e-05
4523,2046,6.183946414295965e-05
4523,2051,4.548926461197519e-05
4523,2334,3.7402735752653917e-05
4523,2569,3.331303825774689e-05
4523,2639,3.953412011471888e-05
4523,2676,3.844349486930543e-05
4523,2755,4.23104393533484e-05
4523,2759,5.019739812322384e-05
4523,2815,0.0007017650612977758
4523,2852,3.471673291043874e-05
4523,3099,0.00030059149560852054
4523,3372,3.924887005088144e-05
4523,3489,9.534884693266112e-05
4523,3595,0.0006763375067621432
4523,3622,5.79281770861664e-05
4523,3665,7.747135813301453e-05
4523,3684,6.436125394711731e-05
4523,3874,3.19328340983769e-05
4523,3883,3.8070116535625184e-05
4523,4047,0.00011845117746905937
4523,4157,3.977875986979931e-05
4523,4253,0.00035679255593197936
4523,4920,0.0003225471855185066
4523,5292,3.439317144213807e-05
4523,5455,3.146691086257024e-05
4523,4749,6.423324070822911e-05
4523,5584,0.0005327066335920373
4523,5866,3.30001978911747e-05
4523,5154,3.741866906243169e-05
4523,5855,0.0003987251827646374
2334,55,7.904952896028948e-06
2334,3087,1.7520028311551046e-05
2334,676,3.539062564662464e-06
2334,724,2.045896373127636e-05
2334,766,2.938223047088523e-06
2334,772,8.34497023870124e-05
2334,876,4.4669426195302825e-06
2334,885,1.1719540232524135e-05
2334,961,3.231979640045986e-06
2334,980,1.8709134901406267e-06
2334,1067,2.057441297447242e-05
2334,1547,1.6546473736372314e-06
2334,1796,4.438213606227033e-05
2334,2051,3.0582516922856327e-06
2334,2230,6.1108994631055e-06
2334,3665,3.689252172507843e-06
2334,2676,2.0402685869634885e-06
2334,4033,2.4495584638784774e-06
2334,3242,7.004515333491882e-06
2334,3923,8.665877202132172e-05
2334,3874,2.4652174537956543e-06
2334,3622,1.8078251814575172e-05
2334,5292,2.138537268667476e-06
2334,2755,3.006075647543123e-06
2334,5866,2.3555186908982238e-06
2334,2569,1.4286377462425708e-06
2334,2639,5.153982107128092e-06
2334,4924,1.3708767437179793e-06
2334,3883,3.024685758366712e-06
2334,4598,1.2196135568388736e-05
2334,5154,1.2230654127820421e-06
2334,2524,3.824590297434623e-06
2334,4674,8.309045012381363e-05
2334,3099,8.068747334328211e-05
2334,2852,4.437432915702754e-06
2334,4537,4.027451211778723e-06
2334,4079,4.0355111733402176e-05
2334,5855,5.59384052786853e-05
2334,2554,2.7368099518833017e-05
2334,4911,8.348510722380162e-06
2334,4630,3.1257205772102043e-06
1038,98,8.085038811493009e-05
1038,766,4.921658012518262e-06
1038,876,1.063658031711405e-05
1038,3372,2.0726904014261803e-06
1038,5154,2.944302825500103e-06
1038,2524,5.275205572416534e-06
1038,2676,2.099988590710692e-06
1038,2639,1.3285342780415749e-05
1038,5866,2.0980227424690244e-06
1038,4674,4.076921568264165e-05
1038,4924,3.9749049703831925e-06
1038,3883,3.6399518719968044e-06
1038,4020,2.1577179927639205e-05
1038,2759,4.765665147367694e-06
1038,2051,2.7745477245238752e-06
1038,4630,2.443307828564054e-06
3923,220,7.900960469684899e-05
3923,578,8.67506096942486e-05
3923,735,0.00012048526134282914
3923,766,0.000117364539055746
3923,1547,6.244034132015543e-05
3923,2051,7.450585992755987e-05
3923,2569,4.530654830277491e-05
3923,2639,0.00012031462242595354
3923,3665,0.0002480880522545134
3923,5154,8.603188078391354e-05
3923,5166,0.00026454233671340265
3923,3986,0.00026539877305856326
3923,4894,0.00012089631220567862
3923,4219,0.00019932720511095617
3923,4924,9.298386685374478e-05
3923,5455,4.497078929059442e-05
3874,55,6.83688608961743e-06
3874,462,1.3005253757257769e-05
3874,676,2.369958517034491e-06
3874,766,5.145601467453347e-06
3874,876,5.979394622371279e-06
3874,1547,2.2171538272158414e-06
3874,1578,9.173827128057802e-07
3874,2051,2.950029688794556e-06
3874,2569,1.425940763756486e-06
3874,2639,8.686652941220919e-06
3874,2676,1.6479724424704088e-06
3874,2755,1.0041438630557683e-06
3874,2852,4.093290608002823e-06
3874,3099,0.00012546090105460661
3874,3622,1.672361308478806e-05
3874,5292,1.5300023126677546e-07
3874,4924,3.144142434197415e-06
3874,3883,3.4316634318951505e-06
3874,5154,2.3168932099423166e-06
3874,4674,4.736131285982121e-05
3874,4630,2.0080019168544007e-06
766,98,5.7612705031197747e-05
766,169,1.7377415505197634e-05
766,3087,1.0803987234895958e-05
766,676,2.8958220430705285e-06
766,724,1.2178679556535434e-05
766,4623,1.1987109894876577e-05
766,3665,1.7248334901309582e-06
766,4033,3.5393206313550416e-06
766,4598,5.606039971963863e-06
766,4924,1.014546439298016e-06
766,1996,5.3157522008442354e-06
766,5093,2.3197823447359665e-05
766,3242,3.108536356908969e-06
766,5885,1.8529929710533255e-05
766,2540,2.4827946033571276e-05
766,4157,8.551433736710556e-06
766,2676,2.0717533129511573e-06
766,3489,2.0355160826927477e-05
766,1547,2.1788756691450774e-06
766,3622,2.737099379257574e-05
766,5292,4.320714429343483e-06
766,4020,3.2330594541340974e-05
766,2337,5.533654203771739e-06
766,5455,3.3197696742293544e-06
766,2755,3.4742578805302164e-06
766,4641,7.369921500217097e-05
766,980,2.5349885590438424e-06
766,3140,7.195144856352201e-06
766,1578,5.767894762194079e-06
766,2569,3.5861377676960397e-06
766,2639,6.120770800716048e-06
766,876,6.038194368175762e-06
766,5866,4.38274590541531e-06
766,3883,1.3334582317859695e-06
766,2759,2.9659289702516036e-06
766,1558,9.334908463773979e-06
766,5817,5.183086607482961e-06
766,2524,1.5024613225491623e-06
766,2015,1.8975492459144858e-05
766,4047,4.240464841072542e-06
766,5154,1.5477091683985259e-06
766,3372,8.262280545839877e-06
766,2713,1.6636371721625436e-05
766,3099,7.128366871296752e-05
766,2852,3.7899707076070303e-06
766,1909,8.711190131505768e-06
766,4537,2.171827539450836e-06
766,1676,1.6388424132372218e-05
766,3842,7.659806314185774e-06
766,2647,2.128089074958409e-05
766,5785,7.122118066564476e-06
766,3374,3.824697698789835e-05
766,5855,3.424715502124861e-05
766,4253,3.248065895360374e-05
766,4911,3.969094390777199e-06
766,4630,2.41831383220763e-06
98,55,6.572237816007402e-05
98,72,5.047776548909138e-05
98,1178,5.8144919196608136e-05
98,1632,2.496401813967153e-05
98,2788,4.9848772278965334e-05
98,3665,5.2018702385033655e-05
98,4914,6.584671636018691e-05
98,480,4.6004485379696954e-05
98,729,0.00013009240148959854
98,3260,7.382414042393586e-05
98,1719,0.00012657656616046437
98,3170,2.4014388457049446e-05
98,2792,4.136858178436379e-05
98,5202,8.258317835350684e-05
98,4185,4.10612416795297e-05
98,1344,3.823945528720388e-05
98,1547,8.530177109716944e-05
98,2998,7.197111320516275e-05
98,3622,0.00017738639357135975
98,4749,2.9168889481925936e-05
98,4549,0.00023098045303142765
98,2890,8.344274473315857e-05
98,3789,4.945751728068887e-05
98,1849,5.556846163094468e-05
98,2230,4.999926268933345e-05
98,961,4.2546948694652834e-05
98,3140,5.275270918030971e-05
98,2713,2.65096347976274e-05
98,3369,7.531478398606411e-05
98,4197,0.00011432137791108444
98,5089,6.558220054779348e-05
98,1558,7.238050775450705e-05
98,5817,6.246541194038502e-05
98,2524,5.332629007243062e-05
98,3099,0.0001443252978984748
98,1466,5.7334140265232125e-05
98,4293,7.793019233202727e-05
98,3374,7.311253383585039e-05
98,2051,8.46958592004868e-05
98,297,6.989114152905285e-05
98,3377,4.233758001437664e-05
98,4761,3.810252582285919e-05
98,1279,4.099228477325974e-05
98,5093,4.8460188655205214e-05
98,2435,0.0002081660880938705
98,1475,0.00010729172792955935
98,848,7.984253379372301e-05
98,5695,5.647215559019792e-05
98,121,4.9106700329184876e-05
98,4623,7.103206180275538e-05
98,506,6.828817826673569e-05
98,1868,9.993192838613639e-05
98,4020,5.5390450626855976e-05
98,2730,3.207704959642957e-05
98,3929,0.00016495094563674003
98,4674,0.00045479345066306914
98,3842,0.00011099069483044213
98,676,5.4160547464423984e-05
98,1675,3.716574406208138e-05
98,3263,0.0007570307968558791
98,4121,9.523601502723223e-05
98,5566,4.6245569078648824e-05
98,2639,4.753487302274172e-05
98,4680,0.00010922986199409404
98,2644,5.1540764974302664e-05
98,3753,0.00010237713797780289
98,2647,5.470019183729806e-05
98,4498,5.581229940067501e-05
98,2554,2.9965776786192527e-05
98,2555,6.043880807095894e-05
98,3883,5.130870600308934e-05
98,1500,6.352883975244745e-05
98,5574,4.633950989970773e-05
98,4501,7.611600828668476e-05
98,5763,4.9029204408500916e-05
98,3087,3.83527699732567e-05
98,3762,0.00010834796055434628
98,3242,4.4715841305074964e-05
98,1684,0.00046313961590336314
98,885,4.628916512430851e-05
98,1976,7.418169270646334e-05
98,3309,0.00010681441827799397
98,1796,5.461224819830566e-05
98,5145,0.00015782077094631783
98,3769,0.00010586413086227515
98,3489,3.700464329695672e-05
98,1137,5.59379169953878e-05
98,2755,8.052515718513771e-05
98,3576,0.006801828145818202
98,5681,0.0001471450103129043
98,1687,0.00010586413086227513
98,432,7.26315992792584e-05
98,698,4.9274030795891515e-05
98,3684,3.238633530070898e-05
98,876,4.365562412943397e-05
98,2759,3.23150048981649e-05
98,4598,3.249222923169474e-05
98,1142,9.924313353275164e-05
98,4047,6.7826656334428e-05
98,4801,0.00019356230510321972
98,5154,6.22319253536304e-05
98,2852,5.525121292719927e-05
98,5065,7.84606828615319e-05
98,1220,4.1782378294243066e-05
98,4253,0.00010158951075162512
98,3327,0.00010586413086227513
98,1224,7.779829536646458e-05
98,3121,0.00012613962318063467
98,4438,8.227677939450393e-05
98,2676,6.47009209603706e-05
98,2086,7.788180874122526e-05
98,5779,5.843257423636581e-05
98,3694,7.22047373402408e-05
98,3817,5.5059075354160455e-05
98,1996,6.0052159027522684e-05
98,2600,0.00010914564226743094
98,5885,3.374008555812114e-05
98,802,0.0001214728602952567
98,169,2.939844700836485e-05
98,2116,3.769635272678088e-05
98,5893,0.00016027425441270875
98,5785,3.1510300930410875e-05
98,980,6.0528807922818545e-05
98,5855,0.0002059424265184802
98,4727,8.782421657563551e-05
98,3162,4.2353300675602654e-05
98,2015,4.392761100307038e-05
98,2249,4.739175885753409e-05
98,1909,3.693514780665245e-05
98,2979,6.301044077732489e-05
98,1067,5.191978164433739e-05
98,3982,6.448337316382647e-05
98,4537,4.534727180896235e-05
98,4924,5.531916753565279e-05
98,5621,6.882543592762029e-05
98,4175,0.00031067411473093963
98,724,5.084734244873155e-05
98,4911,6.985157081180854e-05
98,4630,6.191591270453655e-05
2676,480,3.0823920281228454e-06
2676,676,1.0316465020364424e-06
2676,848,2.920897261125119e-06
2676,876,3.870081921437837e-06
2676,961,1.2918261453812283e-06
2676,980,3.934939525111335e-07
2676,1547,1.4467162656620262e-06
2676,1578,2.3784841824439657e-06
2676,1676,7.68093937897032e-06
2676,2046,1.2158938861833098e-05
2676,2051,1.8997290646882613e-06
2676,2435,2.7079790533765917e-05
2676,2524,2.0533867091863215e-06
2676,2569,2.117770391961459e-06
2676,2639,5.394685655575378e-06
2676,3665,3.4723179065297947e-06
2676,4033,1.5225198926551876e-06
2676,3622,1.886107162320249e-05
2676,5292,1.4801438464668795e-06
2676,5455,1.9012714795854466e-06
2676,2755,7.762030441461008e-07
2676,2917,1.9573338618825156e-05
2676,3842,3.907331014116466e-06
2676,5866,1.4821808108881249e-06
2676,3883,1.128864559204009e-06
2676,2759,2.001935938453216e-06
2676,3372,3.694642695881463e-06
2676,5154,9.658924782840925e-07
2676,4157,3.766192987379354e-06
2676,4674,6.133686417973833e-05
2676,2852,1.620809372407552e-06
2676,4537,2.751412718309779e-06
2676,3099,8.924640423256212e-05
2676,4924,1.2697214498361105e-06
2676,5785,9.663676381695069e-06
2676,5855,5.107926775058054e-05
2676,4253,2.7542008239124194e-05
2676,4630,1.2420010397136373e-06
1547,462,2.5029788997502244e-05
1547,876,6.778034503383083e-06
1547,961,3.0019766525032848e-06
1547,980,1.2272302281455125e-06
1547,3665,3.834826801738759e-06
1547,4033,2.6321674720462066e-06
1547,5093,5.192650973736079e-05
1547,3622,1.974819721480398e-05
1547,5455,1.1954593382031455e-06
1547,5292,1.9318435238403353e-06
1547,4641,3.9176820865084346e-05
1547,1578,2.485013432183349e-06
1547,2569,1.4573631274508466e-06
1547,2639,7.08883038051897e-06
1547,4924,1.1976944825117765e-06
1547,5866,2.1597195043991277e-06
1547,3883,2.5893587000875077e-06
1547,2759,3.841937441872733e-06
1547,2524,3.706628865667298e-06
1547,5154,6.174254965908307e-07
1547,3372,2.8806123314589033e-06
1547,4674,5.532623205925062e-05
1547,2046,1.1238789764968099e-05
1547,1676,7.020648715634543e-06
1547,5855,6.991111434885748e-05
1547,2051,1.0917013714349422e-06
1547,4630,2.4134200423007807e-06
3622,55,4.5281194555888295e-05
3622,146,0.0005043446723648747
3622,676,1.8017992387890933e-05
3622,724,7.198558697925517e-05
3622,876,1.1657177177819071e-05
3622,961,2.5175458760871897e-05
3622,980,1.2843839107694319e-05
3622,1500,4.5875923842533605e-05
3622,1676,4.3015082724835304e-05
3622,1831,3.064117207686089e-05
3622,1909,5.2821474488900564e-05
3622,2051,2.4277475008320727e-05
3622,2524,3.094807693859313e-05
3622,2639,1.8377824543222695e-05
3622,2755,2.1055090970934068e-05
3622,2759,2.1431380069123023e-05
3622,3099,0.0001629948298880971
3622,3372,2.3287114296633853e-05
3622,3489,6.0427933999642204e-05
3622,3665,4.140560363156173e-05
3622,4033,1.810311931077737e-05
3622,4395,0.0014172531322080518
3622,5292,1.669977931319307e-05
3622,5455,1.6708192857241187e-05
3622,5866,1.8280045518681063e-05
3622,4674,0.0002085208418811957
3622,4924,1.8528686789568463e-05
3622,3684,3.459252336225334e-05
3622,3883,2.1982870110445372e-05
3622,4598,5.458615818818362e-05
3622,5154,2.074217250248789e-05
3622,4157,2.3234197907170633e-05
3622,5855,0.00019656807010009738
3622,4630,1.7678979661520088e-05
5292,462,1.3253040262794582e-05
5292,676,2.2434395295912605e-06
5292,848,3.1714609047164574e-06
5292,876,5.586000688085103e-06
5292,980,9.68909698109808e-07
5292,1676,4.299428266986932e-06
5292,2051,2.654550313226404e-06
5292,2524,4.597638346419717e-06
5292,2569,1.2743339726623791e-06
5292,2639,7.840502283910808e-06
5292,2852,4.000965792514458e-06
5292,3099,0.00012461242090388503
5292,3372,1.021508554741771e-06
5292,3665,7.277857683885673e-06
5292,3883,2.995192230969249e-06
5292,4033,8.658333850705661e-07
5292,4630,1.9066189991895794e-06
5292,4674,4.812309790494505e-05
5292,4727,4.068734096922309e-06
5292,4924,2.759226699131812e-06
5292,5154,2.024132019107027e-06
5292,5455,1.0819143965074952e-06
5292,5866,1.9726807714928747e-07
5455,876,6.479267748698085e-06
5455,961,4.265535533883205e-06
5455,1676,6.343262233256098e-06
5455,2051,2.0834991961721744e-06
5455,2639,7.3415283116522245e-06
5455,2852,4.462174043785539e-06
5455,3099,0.00010950681311429142
5455,3372,2.205367852114169e-06
5455,3883,3.4719550390702894e-06
5455,4674,5.205056805320202e-05
5455,4924,1.9304781557389202e-06
5455,5154,1.0951404680844009e-06
5455,5855,6.451250244406406e-05
2755,55,4.745580137776831e-06
2755,876,6.421680123128832e-06
2755,961,2.1950130140118925e-06
2755,1578,1.7233045015722228e-06
2755,2051,2.5044643828066736e-06
2755,2524,3.08710363217935e-06
2755,2639,9.075936018499117e-06
2755,4641,3.648246034917273e-05
2755,4924,2.3639335227634945e-06
2755,5866,9.056706346716854e-07
2755,3883,1.8779939852423198e-06
2755,4598,1.1283866181419032e-05
2755,3140,1.0832664401921745e-05
2755,5154,1.772661686140916e-06
2755,3372,2.1393111807934957e-06
2755,4674,6.138000880749005e-05
2755,3099,0.0001266313152656576
2755,2852,2.1281160252426788e-06
2755,2871,7.142872698256892e-05
2755,4630,1.2398763691441336e-06
568,61,1.2202297119711253e-05
568,93,1.7038489637497507e-05
568,519,5.7310710099982665e-05
568,3611,3.599358404567873e-05
568,3329,5.75466686222939e-06
568,5357,4.6758485289378485e-06
568,3853,1.8140023924049115e-05
568,1025,3.6390502547453998e-06
568,1215,5.205381003125458e-06
568,2202,1.6994687457134726e-05
568,2726,6.851244057273954e-05
568,3506,1.5394172885396075e-05
568,1511,4.709754864899953e-06
568,2612,1.86412747184083e-05
568,4796,5.257596664724527e-06
568,3367,3.409191735256851e-06
568,5479,4.007336498162605e-06
568,3094,0.00014847526051328894
568,5321,4.734550796324846e-06
568,3603,2.5392745646782363e-06
568,4754,1.2152083936408342e-05
568,133,7.630842617132786e-06
568,5086,5.0025692172261745e-06
568,3321,1.5451158638651828e-05
568,2209,4.200536063188953e-05
568,1965,0.00012371837127533614
568,3211,3.7553856403046753e-06
568,4201,3.3668429501822756e-05
568,2736,5.069244564181891e-05
568,5904,4.864304987790724e-05
568,4314,3.319090723833799e-05
568,4759,5.050527641424264e-06
568,4205,4.886043639492167e-06
1849,25,0.00013332708345244564
1849,55,2.0264474086361105e-06
1849,72,1.8173785345702145e-06
1849,121,1.491606763414578e-06
1849,169,2.0512004522339564e-05
1849,432,2.397802509779011e-06
1849,506,5.201172382059323e-05
1849,3087,6.222570488957323e-06
1849,698,1.5016782206413532e-06
1849,724,8.163098883002853e-06
1849,3121,6.013143987538346e-06
1849,2116,2.1040391697996326e-05
1849,885,3.7441558428182662e-06
1849,934,4.4342928369385066e-05
1849,961,3.3979460660539854e-06
1849,1067,9.596133604045442e-06
1849,1137,7.225625431084564e-06
1849,1178,4.7605642808103274e-06
1849,1220,1.159194877166e-06
1849,1224,2.658486265054875e-06
1849,1279,1.261624384960504e-06
1849,1344,1.418382869887621e-06
1849,1500,2.6120935132387994e-06
1849,1632,2.0706131001355056e-05
1849,1675,2.170174697574198e-05
1849,1831,5.675200588086625e-06
1849,3665,6.4191540164963905e-06
1849,2086,9.01024261018146e-06
1849,4501,1.1996449918603372e-05
1849,4761,5.201486637859054e-06
1849,3170,2.0777304901883758e-05
1849,2792,2.1959878970674787e-06
1849,4438,4.913883197139949e-06
1849,3242,1.5255142083976207e-06
1849,2930,1.7420394323504817e-05
1849,4185,9.916046198291219e-07
1849,5806,1.2065337591188134e-05
1849,4712,0.0001431090950311699
1849,4749,9.703727697638982e-06
1849,3489,2.3352048376698178e-05
1849,5695,1.7150648866036855e-06
1849,2730,1.9128021912334373e-06
1849,5093,2.915697910658929e-05
1849,2230,1.2800213676528715e-06
1849,2015,2.209816979214883e-05
1849,2713,2.0793828102762458e-05
1849,4197,1.3051726726592465e-05
1849,5065,1.865582563501672e-05
1849,3684,1.6858062905172872e-06
1849,3883,1.7281970669089938e-06
1849,2759,4.206261556375688e-06
1849,4598,3.8550126772555215e-06
1849,2524,1.9317582585664387e-06
1849,4121,7.731875056601267e-06
1849,4047,1.4563424118005403e-06
1849,2249,9.487369199775722e-07
1849,1909,6.848424280560671e-06
1849,3099,0.00010474117609346531
1849,4293,1.747545549283843e-05
1849,2644,1.7804399328977464e-06
1849,4537,2.5105173769705463e-06
1849,4924,7.274627727694626e-06
1849,2647,2.0887839301128433e-05
1849,5621,1.895228057019116e-05
1849,3374,3.760386250433171e-05
1849,5855,3.0075606562143007e-05
1849,5885,2.2251954610112354e-05
1849,5785,4.7942980833523605e-06
1849,4911,1.830274558356996e-06
980,876,4.003804280635339e-06
980,961,1.5716010412493436e-06
980,4157,2.3985134862076633e-06
980,5866,9.504203162329712e-07
980,2569,1.7045833415754015e-06
980,2639,6.123276104326768e-06
980,4924,1.506987331679699e-06
980,3883,1.3930437797976862e-06
980,2524,2.3479580163762266e-06
980,2015,2.6974723619201045e-05
980,5154,9.77317641656267e-07
980,4674,4.179009092696913e-05
980,3099,7.447097490528317e-05
980,2852,1.6815153128032883e-06
980,5855,3.78968436679335e-05
980,2051,2.0271880906628347e-06
980,2554,2.3842430543494306e-05
980,4630,9.93492400336113e-07
1578,462,1.757030018277868e-05
1578,848,3.3969205553182758e-06
1578,876,9.542820515653581e-06
1578,961,4.3350378682360864e-06
1578,4033,1.6252662950822468e-06
1578,3883,3.684937210531326e-06
